Name;Waehrung;Sie erhalten;Sie zahlen;Mittelkurs;Datum
Goldbarren d. Muenze Oesterreich 1000g;EUR;139.620;141.280;140.450;16.3.2026
Goldbarren d. Muenze Oesterreich 1000g;EUR;141.120;142.780;141.950;13.3.2026
Goldbarren d. Muenze Oesterreich 1000g;EUR;143.220;144.880;144.050;12.3.2026
Goldbarren d. Muenze Oesterreich 1000g;EUR;142.520;144.180;143.350;11.3.2026
Goldbarren d. Muenze Oesterreich 1000g;EUR;143.020;144.680;143.850;10.3.2026
Goldbarren d. Muenze Oesterreich 1000g;EUR;140.170;141.830;141.000;9.3.2026
Goldbarren d. Muenze Oesterreich 500g;EUR;69.770;70.770;70.270;16.3.2026
Goldbarren d. Muenze Oesterreich 500g;EUR;70.520;71.520;71.020;13.3.2026
Goldbarren d. Muenze Oesterreich 500g;EUR;71.570;72.570;72.070;12.3.2026
Goldbarren d. Muenze Oesterreich 500g;EUR;71.220;72.220;71.720;11.3.2026
Goldbarren d. Muenze Oesterreich 500g;EUR;71.470;72.470;71.970;10.3.2026
Goldbarren d. Muenze Oesterreich 500g;EUR;70.045;71.045;70.545;9.3.2026
Goldbarren d. Muenze Oesterreich 250g;EUR;34.905;35.405;35.155;16.3.2026
Goldbarren d. Muenze Oesterreich 250g;EUR;35.280;35.780;35.530;13.3.2026
Goldbarren d. Muenze Oesterreich 250g;EUR;35.805;36.305;36.055;12.3.2026
Goldbarren d. Muenze Oesterreich 250g;EUR;35.630;36.130;35.880;11.3.2026
Goldbarren d. Muenze Oesterreich 250g;EUR;35.755;36.255;36.005;10.3.2026
Goldbarren d. Muenze Oesterreich 250g;EUR;35.043;35.543;35.293;9.3.2026
Goldbarren d. Muenze Oesterreich 100g;EUR;14.230;14.390;14.310;27.2.2026
Goldbarren d. Muenze Oesterreich 100g;EUR;14.200;14.360;14.280;13.3.2026
Goldbarren d. Muenze Oesterreich 100g;EUR;14.410;14.570;14.490;12.3.2026
Goldbarren d. Muenze Oesterreich 100g;EUR;14.340;14.500;14.420;11.3.2026
Goldbarren d. Muenze Oesterreich 100g;EUR;14.390;14.550;14.470;10.3.2026
Goldbarren d. Muenze Oesterreich 100g;EUR;14.105;14.265;14.185;9.3.2026
Goldbarren d. Muenze Oesterreich 50g;EUR;6.994;7.124;7.059;16.3.2026
Goldbarren d. Muenze Oesterreich 50g;EUR;7.069;7.199;7.134;13.3.2026
Goldbarren d. Muenze Oesterreich 50g;EUR;7.174;7.304;7.239;12.3.2026
Goldbarren d. Muenze Oesterreich 50g;EUR;7.139;7.269;7.204;11.3.2026
Goldbarren d. Muenze Oesterreich 50g;EUR;7.164;7.294;7.229;10.3.2026
Goldbarren d. Muenze Oesterreich 50g;EUR;7.022;7.152;7.087;9.3.2026
Goldbarren d. Muenze Oesterreich 20g;EUR;2.787;2.863;2.825;16.3.2026
Goldbarren d. Muenze Oesterreich 20g;EUR;2.817;2.893;2.855;13.3.2026
Goldbarren d. Muenze Oesterreich 20g;EUR;2.859;2.935;2.897;12.3.2026
Goldbarren d. Muenze Oesterreich 20g;EUR;2.845;2.921;2.883;11.3.2026
Goldbarren d. Muenze Oesterreich 20g;EUR;2.855;2.931;2.893;10.3.2026
Goldbarren d. Muenze Oesterreich 20g;EUR;2.798;2.874;2.836;9.3.2026
Goldbarren d. Muenze Oesterreich 10g;EUR;"1.394,5";"1.450,5";"1.422,5";16.3.2026
Goldbarren d. Muenze Oesterreich 10g;EUR;"1.409,5";"1.465,5";"1.437,5";13.3.2026
Goldbarren d. Muenze Oesterreich 10g;EUR;"1.430,5";"1.486,5";"1.458,5";12.3.2026
Goldbarren d. Muenze Oesterreich 10g;EUR;"1.423,5";"1.479,5";"1.451,5";11.3.2026
Goldbarren d. Muenze Oesterreich 10g;EUR;"1.428,5";"1.484,5";"1.456,5";10.3.2026
Goldbarren d. Muenze Oesterreich 10g;EUR;1.400;1.456;1.428;9.3.2026
Goldbarren d. Muenze Oesterreich 5g;EUR;"691,5";"741,5";"716,5";16.3.2026
Goldbarren d. Muenze Oesterreich 5g;EUR;699;749;724;13.3.2026
Goldbarren d. Muenze Oesterreich 5g;EUR;"709,5";"759,5";"734,5";12.3.2026
Goldbarren d. Muenze Oesterreich 5g;EUR;706;756;731;11.3.2026
Goldbarren d. Muenze Oesterreich 5g;EUR;"708,5";"758,5";"733,5";10.3.2026
Goldbarren d. Muenze Oesterreich 5g;EUR;694;744;719;9.3.2026
Goldbarren d. Muenze Oesterreich 2g;EUR;"273,5";"307,5";"290,5";16.3.2026
Goldbarren d. Muenze Oesterreich 2g;EUR;"276,5";"310,5";"293,5";13.3.2026
Goldbarren d. Muenze Oesterreich 2g;EUR;281;315;298;12.3.2026
Goldbarren d. Muenze Oesterreich 2g;EUR;"279,5";"313,5";"296,5";11.3.2026
Goldbarren d. Muenze Oesterreich 2g;EUR;"280,5";"314,5";"297,5";10.3.2026
Goldbarren d. Muenze Oesterreich 2g;EUR;"274,5";"308,5";"291,5";9.3.2026
Goldbarren d. Muenze Oesterreich 1g;EUR;137;165;151;16.3.2026
Goldbarren d. Muenze Oesterreich 1g;EUR;"138,5";"166,5";"152,5";13.3.2026
Goldbarren d. Muenze Oesterreich 1g;EUR;"140,5";"168,5";"154,5";12.3.2026
Goldbarren d. Muenze Oesterreich 1g;EUR;140;168;154;11.3.2026
Goldbarren d. Muenze Oesterreich 1g;EUR;"140,5";"168,5";"154,5";10.3.2026
Goldbarren d. Muenze Oesterreich 1g;EUR;"137,5";"165,5";"151,5";9.3.2026
Goldbarren 1 Unze;EUR;4.298;4.488;4.393;16.3.2026
Goldbarren 1 Unze;EUR;4.346;4.536;4.441;13.3.2026
Goldbarren 1 Unze;EUR;4.409;4.599;4.504;12.3.2026
Goldbarren 1 Unze;EUR;4.388;4.578;4.483;11.3.2026
